,CIDADE,BAIRRO
0,adamantina,centro
1,adamantina,centro
2,adamantina,centro
3,adamantina,centro
4,adamantina,centro
5,adamantina,centro
6,aracariguama,centro
7,barrinha,centro
8,barrinha,centro
9,barrinha,centro
10,auriflama,centro
11,barrinha,centro
12,auriflama,centro
13,barrinha,centro
14,apiai,centro
15,apiai,centro
16,barueri,alphaville-empresari
17,barueri,alphille-centro-indus-empr
18,barueri,empresarial-18-do-forte
19,apiai,centro
20,cunha,centro
21,bauru,mary-dota
22,barueri,residencial-das-estrelas
23,cunha,centro
24,cunha,centro
25,aracoiaba-da-serra,centro
26,aracoiaba-da-serra,centro
27,barueri,centro-empresarial
28,barueri,jd-dos-camargos
29,descalvado,centro
30,diadema,vila-conceicao
31,descalvado,centro
32,descalvado,centro
33,vinhedo,jd-italia
34,descalvado,centro
35,diadema,jd-recanto
36,votorantim,centro
37,descalvado,centro
38,diadema,jardim-rosinha
39,votorantim,centro
40,barueri,nova-aldeinha
41,barueri,jardim-paraiso
42,barueri,alphaville-industria
43,votorantim,centro
44,barueri,jardim-silveira
45,votorantim,centro
46,apiai,centro
47,apiai,centro
48,diadema,jd-portinari
49,barueri,alphavillec-indl-empl
50,diadema,jardim-das-nacoes
51,diadema,campanario
52,diadema,canhema
53,diadema,campanario
54,vinhedo,jardim-junco
55,tres-fronteiras,centro
56,tupa,centro
57,tupa,centro
58,tatui,centro
59,tupa,centro
60,tupa,centro
61,tatui,centro
62,tupa,centro
63,tupa,centro
64,tatui,centro
65,tupa,centro
66,timburi,centro
67,diadema,serraria
68,tupa,centro
69,diadema,serraria
70,tatui,centro
71,tatui,centro
72,tupa,centro
73,tatui,centro
74,tatui,centro
75,tatui,centro
76,tremembe,centro
77,tatui,centro
78,tatui,centro
79,ubirajara,centro
80,tremembe,centro
81,votorantim,centro
82,diadema,serraria
83,taruma,centro
84,tatui,centro
85,tremembe,centro
86,votorantim,centro
87,votorantim,centro
88,taruma,centro
89,diadema,eldorado
90,votorantim,centro
91,descalvado,centro
92,diadema,conceicao
93,ubatuba,itagua
94,taubate,jardim-maria-augusta
95,taubate,jardim-maria-augusta
96,votorantim,centro
97,tremembe,centro
98,diadema,eldorado
99,taubate,centro
100,taubate,vila-jaboticabeira
101,taubate,centro
102,barra-do-turvo,centro
103,taubate,jardim-das-nacoes
104,taubate,centro
105,taubate,centro
106,taubate,centro
107,arandu,centro
108,taubate,parque-senhor-do-bonfim
109,auriflama,centro
110,taubate,centro
111,taubate,centro
112,taubate,parque-senhor-do-bonfim
113,taubate,jardim-maria-augusta
114,taubate,centro
115,bastos,centro
116,auriflama,centro
117,taubate,jardim-independencia
118,taubate,cavex-itaim
119,taubate,pq-senhor-do-bonfim
120,taubate,centro
121,taubate,independencia
122,taubate,jardim-das-nacoes
123,taubate,jd-sta-clara
124,taubate,vila-jaboticabeira
125,taubate,centro
126,taubate,centro
127,taubate,centro
128,taubate,pq-senhor-do-bonfim
129,taubate,vila-jaboticabeira
130,taubate,jd-jaboticabeira
131,taubate,centro
132,bastos,centro
133,bastos,centro
134,bastos,centro
135,taubate,centro
136,taubate,centro
