,CIDADE,BAIRRO,BANCO,AGENCIA
0,adamantina (8),centro (8),banco-bradesco (2),BRADESCO - AGÊNCIA 0056
1,adamantina (8),centro (8),banco-bradesco (2),BRADESCO - AGÊNCIA 3525
2,adamantina (8),centro (8),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 0470
3,adamantina (8),centro (8),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6733
4,adamantina (8),centro (8),banco-santander (1),SANTANDER - AGÊNCIA 0073
5,adamantina (8),centro (8),caixa-economica-federal (1),CAIXA - AGÊNCIA 0276
6,adamantina (8),centro (8),banco-hsbc (1),HSBC - AGÊNCIA 1493
7,adamantina (8),centro (8),itau-unibanco (1),ITAÚ - AGÊNCIA 0492
8,adolfo (1),centro (1),banco-santander (1),SANTANDER - AGÊNCIA 0655
9,aguai (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 0275
10,aguai (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6779
11,aguai (6),centro (6),banco-bradesco (1),BRADESCO - AGÊNCIA 0303
12,aguai (6),centro (6),banco-santander (1),SANTANDER - AGÊNCIA 0158
13,aguai (6),centro (6),caixa-economica-federal (1),CAIXA - AGÊNCIA 3427
14,aguai (6),centro (6),itau-unibanco (1),ITAÚ - AGÊNCIA 0006
15,aguas-da-prata (3),centro (3),banco-bradesco (1),BRADESCO - AGÊNCIA 5985
16,aguas-da-prata (3),centro (3),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6955
17,aguas-da-prata (3),centro (3),itau-unibanco (1),ITAÚ - AGÊNCIA 0029
18,aguas-de-lindoia (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 0382
19,aguas-de-lindoia (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6951
20,aguas-de-lindoia (6),centro (6),banco-bradesco (1),BRADESCO - AGÊNCIA 1727
21,aguas-de-lindoia (6),centro (6),banco-santander (1),SANTANDER - AGÊNCIA 0672
22,aguas-de-lindoia (6),centro (6),caixa-economica-federal (1),CAIXA - AGÊNCIA 1177
23,aguas-de-lindoia (6),centro (6),itau-unibanco (1),ITAÚ - AGÊNCIA 0080
24,aguas-de-santa-barbara (2),centro (2),banco-bradesco (1),BRADESCO - AGÊNCIA 2496
25,aguas-de-santa-barbara (2),centro (2),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6752
26,aguas-de-sao-pedro (3),centro (3),banco-bradesco (1),BRADESCO - AGÊNCIA 1758
27,aguas-de-sao-pedro (3),centro (3),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 4484
28,aguas-de-sao-pedro (3),centro (3),caixa-economica-federal (1),CAIXA - AGÊNCIA 0277
29,agudos (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 0631
30,agudos (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6548
31,agudos (6),centro (6),banco-bradesco (1),BRADESCO - AGÊNCIA 0377
32,agudos (6),centro (6),banco-santander (1),SANTANDER - AGÊNCIA 0440
33,agudos (6),centro (6),caixa-economica-federal (1),CAIXA - AGÊNCIA 1153
34,agudos (6),centro (6),itau-unibanco (1),ITAÚ - AGÊNCIA 1958
35,alfredo-marcondes (1),centro (1),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6729
36,altair (1),centro (1),banco-santander (1),SANTANDER - AGÊNCIA 0401
37,altinopolis (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 1422
38,altinopolis (6),centro (6),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6618
39,altinopolis (6),centro (6),banco-bradesco (1),BRADESCO - AGÊNCIA 1618
40,altinopolis (6),centro (6),banco-santander (1),SANTANDER - AGÊNCIA 0271
41,altinopolis (6),centro (6),caixa-economica-federal (1),CAIXA - AGÊNCIA 4498
42,altinopolis (6),centro (6),banco-hsbc (1),HSBC - AGÊNCIA 1002
43,alto-alegre (1),centro (1),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6875
44,aluminio (3),aluminio (1),caixa-economica-federal (1),CAIXA - AGÊNCIA 4841
45,aluminio (3),centro (1),banco-bradesco (1),BRADESCO - AGÊNCIA 2449
46,aluminio (3),vila-industrial (1),banco-santander (1),SANTANDER - AGÊNCIA 4178
47,alvares-florence (1),centro (1),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6714
48,alvares-machado (4),centro (4),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 0890
49,alvares-machado (4),centro (4),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6726
50,alvares-machado (4),centro (4),banco-bradesco (1),BRADESCO - AGÊNCIA 0040
51,alvares-machado (4),centro (4),banco-santander (1),SANTANDER - AGÊNCIA 0667
52,alvaro-de-carvalho (1),centro (1),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6706
53,alvinlandia (1),centro (1),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 6877
54,americana (3),centro (8),banco-bradesco (4),BRADESCO - AGÊNCIA 0215
55,americana (3),centro (8),banco-bradesco (4),BRADESCO - AGÊNCIA 1320
56,americana (3),centro (8),banco-bradesco (4),BRADESCO - AGÊNCIA 3366
57,americana (3),centro (8),banco-bradesco (4),BRADESCO - AGÊNCIA 3614
58,americana (3),centro (8),banco-santander (4),SANTANDER - AGÊNCIA 0090
59,americana (3),centro (8),banco-santander (4),SANTANDER - AGÊNCIA 2157
60,americana (3),centro (8),banco-santander (4),SANTANDER - AGÊNCIA 3428
61,americana (3),centro (8),banco-santander (4),SANTANDER - AGÊNCIA 4502
62,americana (3),centro (8),itau-unibanco (3),ITAÚ - AGÊNCIA 0277
63,americana (3),centro (8),itau-unibanco (3),ITAÚ - AGÊNCIA 7390
64,americana (3),centro (8),itau-unibanco (3),ITAÚ - AGÊNCIA 9691
65,americana (3),centro (8),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 0319
66,americana (3),centro (8),banco-do-brasil (2),BANCO DO BRASIL - AGÊNCIA 6624
67,americana (3),centro (8),caixa-economica-federal (2),CAIXA - AGÊNCIA 0278
68,americana (3),centro (8),caixa-economica-federal (2),CAIXA - AGÊNCIA 2102
69,americana (3),centro (8),banco-mercantil (1),BANCO MERCANTIL - AGÊNCIA 0328
70,americana (3),centro (8),global-financas (1),GLOBAL FINANÇAS - AGÊNCIA 0001
71,americana (3),centro (8),banco-hsbc (1),HSBC - AGÊNCIA 0962
72,americana (3),cidade-jardim-i (3),banco-bradesco (1),BRADESCO - AGÊNCIA 1099
73,americana (3),cidade-jardim-i (3),banco-santander (1),SANTANDER - AGÊNCIA 1280
74,americana (3),cidade-jardim-i (3),caixa-economica-federal (1),CAIXA - AGÊNCIA 1814
75,americana (3),jardim-girassol (3),itau-unibanco (2),ITAÚ - AGÊNCIA 1578
76,americana (3),jardim-girassol (3),itau-unibanco (2),ITAÚ - AGÊNCIA 8936
77,americana (3),jardim-girassol (3),banco-bradesco (1),BRADESCO - AGÊNCIA 2188
78,americana (3),sao-vito (3),banco-bradesco (1),BRADESCO - AGÊNCIA 1404
79,americana (3),sao-vito (3),banco-do-brasil (1),BANCO DO BRASIL - AGÊNCIA 3135
80,americana (3),sao-vito (3),caixa-economica-federal (1),CAIXA - AGÊNCIA 3296
81,americana (3),jardim-ipiranga (2),banco-bradesco (1),BRADESCO - AGÊNCIA 0803
